director,evaluate_number,introduce,leadactors,movie_name,picture,release_time,score,serial_number,typelist
弗兰克·德拉邦特FrankDarabont,1701993人评价,希望让人自由。, 蒂姆·罗宾斯 Tim Robbins /...,肖申克的救赎,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p480747492.jpg,"
                       1994
                        ",9.7,1,美国 犯罪 剧情
陈凯歌KaigeChen,1259259人评价,风华绝代。, 张国荣 Leslie Cheung / 张丰毅 Fengyi Zha...,霸王别姬,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2561716440.jpg,"
                            
                            1993
                        ",9.6,2,中国大陆 中国香港剧情 爱情 同性
罗伯特·泽米吉斯RobertZemeckis,1315755人评价,一部美国近现代史。, 汤姆·汉克斯 Tom Hanks / ...,阿甘正传,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2559011361.jpg,1994,9.5,3,美国 剧情 爱情
吕克·贝松LucBesson,1509468人评价,怪蜀黍和小萝莉不得不说的故事。, 让·雷诺 Jean Reno / 娜塔莉·波特曼 ...,这个杀手不太冷,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p511118051.jpg,"
                                                   1994
                        ",9.4,4,法国剧情 动作 犯罪
罗伯托·贝尼尼RobertoBenigni,768634人评价,最美的谎言。, 罗伯托·贝尼尼 Roberto Beni...,美丽人生,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p510861873.jpg,"
                            
                            1997
                        ",9.5,5,意大利剧情 喜剧 爱情 战争
詹姆斯·卡梅隆JamesCameron,1252637人评价,失去的才是永恒的。 ," 莱昂纳多·迪卡普里奥 Leonardo...,",泰坦尼克号,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p457760035.jpg,"
                            
                            1997
                        ",9.4,6,美国剧情 爱情 灾难
宫崎骏HayaoMiyazaki,1341795人评价,最好的宫崎骏，最好的久石让。 , 柊瑠美 Rumi H?ragi / 入野自由 Miy...,千与千寻,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2557573348.jpg,"
                                               2001                 ",9.3,7,日本剧情 动画 奇幻
史蒂文·斯皮尔伯格StevenSpielberg,677594人评价,拯救一个人，就是拯救整个世界。, 连姆·尼森 Liam Neeson...,辛德勒的名单,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p492406163.jpg,"
                            
                            1993                  ",9.5,8,美国剧情 历史 战争
"
克里斯托弗·诺兰ChristopherNolan",1283872人评价,诺兰给了我们一场无法盗取的梦。, 莱昂纳多·迪卡普里奥 Le...,盗梦空间,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p513344864.jpg,"
                            
                            2010
                        ",9.3,9,美国 英国剧情 科幻 悬疑 冒险
"
莱塞·霍尔斯道姆LasseHallstrm",869451人评价,永远都不能忘记你所爱的人。, 理查·基尔 Richard Ger...,忠犬八公的故事,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p524964016.jpg,"
                     2009
                        ",9.3,10,美国 英国剧情
